engine,entry_time,exit_time,ret_pct,size_mult,eq_before,eq_after,peak_before,worst_eq_intrade,mtm_dd_intrade
CALL,2021-01-02 20:45:00,2021-01-02 21:00:00,-0.2058139637008064,1.0,1.0,0.7941860362991936,1.0,0.9875776397515528,-0.012422360248447228
CALL,2021-01-02 21:15:00,2021-01-04 09:15:00,-0.0127669039821376,0.2,0.7941860362991936,0.7921581769253163,1.0,0.7929418727717701,-0.20705812722822992
PUT,2021-01-05 04:15:00,2021-01-05 06:15:00,0.012716128674449,1.0,0.7921581769253163,0.8022313622336156,1.0,0.7852918378961244,-0.21470816210387556
CALL,2021-01-06 20:15:00,2021-01-10 17:15:00,0.1051973114675475,0.2,0.8022313622336156,0.8191098787300005,1.0,0.798042941745066,-0.20195705825493404
CALL,2021-01-14 04:15:00,2021-01-15 14:45:00,-0.0498180067668087,0.8,0.8191098787300005,0.7864647415449357,1.0,0.8090838346515884,-0.1909161653484116
CALL,2021-01-29 07:45:00,2021-01-29 18:15:00,0.8340608973076113,1.3,0.7864647415449357,1.6392120759888338,1.0,0.7780588878606596,-0.22194111213934042
CALL,2021-02-03 09:15:00,2021-02-07 04:15:00,0.7248966828430415,1.13,1.6392120759888338,2.981945193876268,1.6392120759888338,1.6247939465024184,-0.008795768221581568
CALL,2021-02-08 15:15:00,2021-02-08 16:30:00,0.0088549742100298,1.0,2.981945193876268,3.008350241663765,2.981945193876268,2.936973529982444,-0.015081318055803927
CALL,2021-02-08 17:15:00,2021-02-22 13:45:00,0.9510123540486564,1.0,3.008350241663765,5.869328486791266,3.008350241663765,2.9831589198279413,-0.008373799528705095
CALL,2021-02-24 05:30:00,2021-02-24 10:15:00,0.0109442399975783,1.0,5.869328486791266,5.933563826375333,5.869328486791266,5.759381202921358,-0.018732514991679383
CALL,2021-02-24 11:00:00,2021-02-24 13:15:00,-0.0275955130745745,1.0,5.933563826375333,5.76982408822577,5.933563826375333,5.82436925751951,-0.01840286412197034
CALL,2021-02-25 15:30:00,2021-02-25 16:45:00,0.0071331362978142,1.0,5.76982408822577,5.8109810298614955,5.933563826375333,5.726870575567401,-0.034834587923223914
CALL,2021-03-01 00:15:00,2021-03-04 04:30:00,0.4104348943532176,1.0,5.8109810298614955,8.19601041494125,5.933563826375333,5.719492801021146,-0.03607798476905533
CALL,2021-03-10 02:15:00,2021-03-15 06:45:00,0.6431006144594655,1.0,8.19601041494125,13.466869748906149,8.19601041494125,8.035837356326235,-0.019542808086605357
CALL,2021-03-18 18:45:00,2021-03-18 19:45:00,-0.05936288617815,1.0,13.466869748906149,12.667437492825862,13.466869748906149,13.21987788594368,-0.01834070333846738
CALL,2021-03-24 16:30:00,2021-03-24 18:30:00,0.0012111995156651,1.0,12.667437492825862,12.682780286981892,13.466869748906149,12.562469473215268,-0.06715742355526544
PUT,2021-05-16 19:15:00,2021-05-16 21:45:00,0.0269770569877294,1.0,12.682780286981892,13.024924373546654,13.466869748906149,12.553938837517343,-0.06779087704943154
PUT,2021-05-17 04:15:00,2021-05-17 05:45:00,-0.0564403338325324,1.0,13.024924373546654,12.289793293760193,13.466869748906149,12.810306789811165,-0.04875393995314414
PUT,2021-05-18 13:15:00,2021-05-19 04:15:00,0.1804226057099862,1.0,12.289793293760193,14.507149823457521,13.466869748906149,12.20345353627982,-0.09381662080224318
PUT,2021-05-19 05:45:00,2021-05-19 12:45:00,0.2294589941720677,1.0,14.507149823457521,17.835945830251575,14.507149823457521,13.945134039767424,-0.038740606565001334
PUT,2021-05-21 15:45:00,2021-05-22 01:15:00,0.0180016777910472,1.0,17.835945830251575,18.157022780186335,17.835945830251575,17.295756296143427,-0.030286565077582317
PUT,2021-05-28 05:45:00,2021-05-28 12:45:00,0.0152665045660356,1.0,18.157022780186335,18.43421705136566,18.157022780186335,17.972634157930845,-0.010155223380382772
PUT,2021-05-28 17:15:00,2021-05-30 07:15:00,0.0170042227225284,1.0,18.43421705136566,18.747676583822514,18.43421705136566,17.79037335224829,-0.034926555183946384
PUT,2021-06-05 10:15:00,2021-06-07 01:45:00,0.0143301859944906,1.0,18.747676583822514,19.01633427623325,18.747676583822514,18.64510917559206,-0.0054709397066812215
PUT,2021-06-07 21:15:00,2021-06-08 13:45:00,0.2978720850080363,1.0,19.01633427623325,24.68076941630463,19.01633427623325,18.824435128022206,-0.01009127970845991
PUT,2021-06-25 17:45:00,2021-06-26 10:45:00,0.0451423023726866,1.0,24.68076941630463,25.794916172086012,24.68076941630463,23.892143867562286,-0.03195303742116573
PUT,2021-07-01 07:15:00,2021-07-01 23:45:00,0.0429603287526092,1.0,25.794916172086012,26.903074250984822,25.794916172086012,25.539329740542836,-0.009908403262025689
CALL,2021-07-26 20:30:00,2021-07-26 21:30:00,-0.0426083474705166,1.0,26.903074250984822,25.756778715273754,26.903074250984822,26.049021650497224,-0.03174553928372459
CALL,2021-08-01 05:15:00,2021-08-01 14:45:00,-0.0652751588728659,0.8,25.756778715273754,24.41175645711956,26.903074250984822,25.447438922569024,-0.05410665393983782
CALL,2021-08-06 01:15:00,2021-08-18 00:45:00,0.5159461631941257,0.8,24.41175645711956,34.48787812182376,26.903074250984822,24.28652229694244,-0.09725847424097267
CALL,2021-09-03 00:45:00,2021-09-07 09:15:00,0.7019703486932073,1.13,34.48787812182376,61.844576770701735,34.48787812182376,34.27142411954912,-0.006276234261500591
CALL,2021-10-07 00:45:00,2021-10-07 05:15:00,-0.0256356134279513,1.0,61.844576770701735,60.259153107992766,61.844576770701735,61.05470004913564,-0.012771964217568876
CALL,2021-10-18 10:15:00,2021-10-18 12:45:00,-0.0902795348855171,1.13,60.259153107992766,54.111762911834,61.844576770701735,59.29636098281486,-0.041203544772159706
CALL,2021-10-21 11:45:00,2021-10-21 14:15:00,0.0079227811604393,0.8,54.111762911834,54.45473543643883,61.844576770701735,52.70088653054222,-0.14784950787295625
CALL,2021-11-09 15:15:00,2021-11-09 15:45:00,-0.0676009031526029,0.8,54.45473543643883,51.50978399928738,61.844576770701735,54.18664551261024,-0.12382542913155425
CALL,2021-11-21 03:30:00,2021-11-21 08:00:00,-0.0030745112277485,1.0,51.50978399928738,51.35141659004267,61.844576770701735,51.280475847481256,-0.17081693294447642
CALL,2021-11-30 16:15:00,2021-11-30 16:45:00,0.0083843557739459,0.8,51.35141659004267,51.695855426992296,61.844576770701735,50.7838633286911,-0.17884694211781793
CALL,2021-12-01 19:15:00,2021-12-01 20:15:00,0.0113151086636053,0.8,51.695855426992296,52.163810804283855,61.844576770701735,51.159866695182906,-0.1727671306593953
PUT,2021-12-10 15:15:00,2021-12-10 20:45:00,0.0431220558171852,1.0,52.163810804283855,54.41322156542327,61.844576770701735,51.90027299038166,-0.16079508179334967
PUT,2022-01-20 22:15:00,2022-01-21 02:15:00,0.3006930157155099,1.0,54.41322156542327,70.77489725272662,61.844576770701735,54.321313671112,-0.1216479033801684
PUT,2022-01-21 22:15:00,2022-01-24 10:45:00,0.301032783669404,1.0,70.77489725272662,92.08046158663096,70.77489725272662,70.66793856645167,-0.0015112517351034693
PUT,2022-01-27 02:15:00,2022-01-27 14:15:00,-0.1243212040975971,1.0,92.08046158663096,80.63290772831847,92.08046158663096,89.22708747770801,-0.0309878345498783
CALL,2022-02-10 16:45:00,2022-02-10 20:30:00,-0.042594129130701,1.0,80.63290772831847,77.19841924435457,92.08046158663096,77.76420783445661,-0.15547547770169845
PUT,2022-02-21 22:15:00,2022-02-22 10:15:00,0.0247513125981082,1.0,77.19841924435457,79.1091814511514,92.08046158663096,75.82797868032651,-0.17650305641673858
PUT,2022-02-24 03:15:00,2022-02-24 07:45:00,0.0239505417361631,1.0,79.1091814511514,81.0038892032109,92.08046158663096,78.61142160243737,-0.14627467925453075
PUT,2022-03-04 01:15:00,2022-03-04 22:15:00,0.1534891126289042,1.0,81.0038892032109,93.43710427650181,92.08046158663096,80.17156275944934,-0.1293314414587019
PUT,2022-05-09 17:15:00,2022-05-09 19:45:00,0.044257728349935,1.0,93.43710427650181,97.57241825537578,93.43710427650181,92.87999652623877,-0.0059623824451412455
PUT,2022-05-10 15:15:00,2022-05-11 13:45:00,0.0166340696821212,1.0,97.57241825537578,99.19544465968877,97.57241825537578,94.34562150784417,-0.033070787884811104
PUT,2022-05-11 16:15:00,2022-05-14 16:15:00,0.0710851286362852,1.0,99.19544465968877,106.24676560345627,99.19544465968877,97.73780545242533,-0.014694618409788696
PUT,2022-05-20 15:15:00,2022-05-21 07:15:00,0.042374757655577,1.0,106.24676560345627,110.74894654759163,106.24676560345627,105.68410038053933,-0.00529583389876509
PUT,2022-06-13 23:15:00,2022-06-14 03:45:00,0.0465357610243071,1.0,110.74894654759163,115.90273305782412,110.74894654759163,107.63385142822398,-0.028127537249566625
PUT,2022-06-15 04:15:00,2022-06-15 12:15:00,0.0037409446816738,1.0,115.90273305782412,116.33631877064825,115.90273305782412,112.63126331496575,-0.028225993093935364
PUT,2022-06-16 10:45:00,2022-06-17 07:15:00,0.0450829333785682,1.0,116.33631877064825,121.58110127929326,116.33631877064825,114.94450548279653,-0.01196370404839453
PUT,2022-06-18 07:15:00,2022-06-18 18:45:00,0.2977902120890827,1.0,121.58110127929326,157.78676321527826,121.58110127929326,119.71656097702498,-0.015335774085358023
PUT,2022-06-22 16:15:00,2022-06-23 09:15:00,-0.1262313331642425,1.0,157.78676321527826,137.86912973894303,157.78676321527826,153.220173131679,-0.028941528367425806
PUT,2022-07-01 04:15:00,2022-07-04 04:15:00,0.0483719000841789,1.0,137.86912973894303,144.5381215073679,157.78676321527826,136.18710239681505,-0.136891462745791
PUT,2022-08-15 07:15:00,2022-08-17 05:15:00,0.0211297689844969,1.0,144.5381215073679,147.59217862427172,157.78676321527826,143.10920672080874,-0.09302146894568086
PUT,2022-08-26 15:15:00,2022-08-27 15:15:00,0.3189536197776219,1.0,147.59217862427172,194.66723824734854,157.78676321527826,146.9350231258034,-0.06877471765276755
PUT,2022-09-13 13:15:00,2022-09-13 21:15:00,0.2973426381746638,1.0,194.66723824734854,252.55010843399097,194.66723824734854,193.2249902796932,-0.007408786299329839
PUT,2022-09-21 22:15:00,2022-09-22 08:15:00,-0.1345663398255612,1.0,252.55010843399097,218.56536471948021,252.55010843399097,242.32419364485236,-0.04049063709593048
PUT,2022-09-27 17:15:00,2022-09-28 10:15:00,0.0237175117915662,1.0,218.56536471948021,223.74919133444246,252.55010843399097,215.28602605087352,-0.14755124285704735
PUT,2022-10-21 12:15:00,2022-10-21 12:45:00,-0.0091466225305381,1.0,223.74919133444246,221.70264193979315,252.55010843399097,222.21779021969135,-0.12010415834855037
PUT,2022-11-02 19:45:00,2022-11-03 01:45:00,0.0268413067540265,1.0,221.70264193979315,227.65343056027726,252.55010843399097,220.68974848861743,-0.1261546080614766
PUT,2022-11-07 22:45:00,2022-11-08 03:45:00,0.2750808160451994,1.0,227.65343056027726,290.2765220142875,252.55010843399097,225.29145075384088,-0.1079336605680955
PUT,2022-11-08 18:15:00,2022-11-08 19:15:00,0.1321377918340094,1.0,290.2765220142875,328.63302065451165,290.2765220142875,286.0029014066654,-0.014722584444537778
PUT,2022-11-09 10:15:00,2022-11-09 21:15:00,0.3007469877838093,1.0,328.63302065451165,427.4684117026504,328.63302065451165,317.3312420177203,-0.034390270990670824
PUT,2022-11-14 20:15:00,2022-11-15 07:15:00,-0.1496333395533574,1.0,427.4684117026504,363.5048857060134,427.4684117026504,411.69693337248793,-0.03689507317591745
PUT,2022-11-28 01:45:00,2022-11-28 02:15:00,0.007156179631403,1.0,363.5048857060134,366.10619196501824,427.4684117026504,362.4670256008539,-0.15206126189041513
PUT,2022-12-16 09:15:00,2022-12-16 14:15:00,0.027814539742933,1.0,366.10619196501824,376.2892671915631,427.4684117026504,365.7114104763344,-0.1444714966898527
CALL,2023-01-25 23:15:00,2023-01-26 10:45:00,0.0190967398280282,1.3,376.2892671915631,385.63093489789077,427.4684117026504,370.98535182509886,-0.13213388014467253
CALL,2023-02-02 19:45:00,2023-02-02 21:00:00,2.9584337033705665e-05,1.0,385.63093489789077,385.64234353343943,427.4684117026504,384.0871087068221,-0.10148423090032821
PUT,2023-02-09 20:15:00,2023-02-09 22:15:00,0.0095645127774657,1.0,385.64234353343943,389.33082465569686,427.4684117026504,382.9537047570324,-0.10413566412617803
CALL,2023-02-14 16:30:00,2023-02-16 22:30:00,0.7896592467756429,1.0,389.33082465569686,696.7695103998543,427.4684117026504,388.255202762347,-0.09173358280232502
CALL,2023-02-17 21:30:00,2023-02-17 22:00:00,-0.1076439122422194,1.0,696.7695103998543,621.7665143693182,696.7695103998543,678.0979792234958,-0.02679728503855383
CALL,2023-02-17 22:15:00,2023-02-20 00:45:00,-0.0291928471880654,0.8,621.7665143693182,607.2456064968065,696.7695103998543,616.0981853915828,-0.1157790686937159
PUT,2023-03-09 19:15:00,2023-03-09 20:45:00,0.0930446580006372,1.0,607.2456064968065,663.7465662756914,696.7695103998543,604.8602210428301,-0.13190773704245518
CALL,2023-03-13 09:45:00,2023-03-14 19:15:00,0.2840368715785356,0.8,663.7465662756914,814.5693648404455,696.7695103998543,660.0995273908536,-0.052628570081886816
CALL,2023-03-15 16:15:00,2023-03-22 19:45:00,0.7334844127891548,1.13,814.5693648404455,1489.714908278458,814.5693648404455,798.2859496595346,-0.019990213091429454
PUT,2023-04-19 09:15:00,2023-04-21 17:15:00,0.0934740530465068,1.0,1489.714908278458,1628.9645986390508,1489.714908278458,1475.1410611764459,-0.009782977280434202
CALL,2023-04-27 20:00:00,2023-04-28 08:30:00,-0.0567513724773615,1.0,1628.9645986390508,1536.5186219492502,1628.9645986390508,1606.1445282557318,-0.014008941877794334
CALL,2023-06-21 17:45:00,2023-06-21 21:00:00,0.0062064594300841,1.0,1536.5186219492502,1546.054962439947,1628.9645986390508,1520.686440004834,-0.06647054130254271
CALL,2023-07-10 22:15:00,2023-07-14 18:15:00,0.042715572597455,1.0,1546.054962439947,1612.0955854277063,1628.9645986390508,1537.7107953334864,-0.05601951287449958
PUT,2023-07-14 18:15:00,2023-07-17 18:15:00,0.0831945014570343,1.0,1612.0955854277063,1746.2130739584502,1628.9645986390508,1593.9932355565134,-0.021468461077518097
PUT,2023-08-31 16:45:00,2023-09-01 14:45:00,0.3570431557116551,1.0,1746.2130739584502,2369.686500429525,1746.2130739584502,1726.4684993641274,-0.011307082101707278
PUT,2023-09-01 18:15:00,2023-09-01 18:45:00,-0.1474342454688301,1.0,2369.686500429525,2020.3135592410254,2369.686500429525,2334.9719319005585,-0.01464943507197014
PUT,2023-10-06 13:15:00,2023-10-06 13:15:00,-0.0253579138309143,1.0,2020.3135592410254,1969.0826220943636,2369.686500429525,2017.020050265895,-0.14882409555006804
CALL,2023-10-23 19:30:00,2023-10-23 23:00:00,0.8933905844170449,1.0,1969.0826220943636,3728.242496612694,2369.686500429525,1959.1874178286694,-0.17322927844102975
CALL,2023-10-23 23:45:00,2023-12-11 02:00:00,1.359942643336317,1.0,3728.242496612694,8798.438452454951,3728.242496612694,3692.847075921626,-0.00949386224829174
CALL,2024-01-02 16:00:00,2024-01-02 17:30:00,0.0005086214030247,1.0,8798.438452454951,8802.913526565066,8798.438452454951,8758.368885555674,-0.0045541680055848355
CALL,2024-01-09 01:30:00,2024-01-09 09:15:00,0.004296317190108,1.0,8802.913526565066,8840.733635272281,8802.913526565066,8791.76814656193,-0.0012661012708464758
CALL,2024-01-11 00:15:00,2024-01-11 16:00:00,0.0116537010650024,1.0,8840.733635272281,8943.760902253056,8840.733635272281,8692.985604881984,-0.016712191146764144
CALL,2024-02-09 15:15:00,2024-02-20 17:15:00,0.895097380748872,1.0,8943.760902253056,16949.297859903934,8943.760902253056,8858.258308392753,-0.009560026793511867
CALL,2024-02-27 04:15:00,2024-02-28 17:15:00,0.524783036867758,1.0,16949.297859903934,25844.00186360051,16949.297859903934,16840.78631410136,-0.006402126312221812
CALL,2024-02-28 18:15:00,2024-02-28 20:00:00,0.0115340903010072,1.0,25844.00186360051,26142.08891483468,25844.00186360051,25407.846181380846,-0.016876476194422563
CALL,2024-02-28 21:15:00,2024-03-05 19:45:00,0.0060627998055216,1.0,26142.08891483468,26300.58316642347,26142.08891483468,25518.67045489567,-0.023847308528785693
CALL,2024-03-08 16:15:00,2024-03-12 17:15:00,0.4811795527752149,1.0,26300.58316642347,38955.88601217046,26300.58316642347,26112.727756838245,-0.007142632860896003
CALL,2024-04-18 18:15:00,2024-04-19 01:15:00,0.0100893523449836,1.0,38955.88601217046,39348.92567205826,38955.88601217046,38309.919122996704,-0.016582009942526788
CALL,2024-05-05 01:15:00,2024-05-06 12:30:00,0.0054633981762368,1.0,39348.92567205826,39563.90452081187,39348.92567205826,39098.89881445718,-0.0063540961622398084
PUT,2024-06-24 10:15:00,2024-06-24 13:45:00,0.0057236795892787,1.0,39563.90452081187,39790.35563358982,39563.90452081187,39366.18385853895,-0.004997501249375258
PUT,2024-06-24 20:15:00,2024-06-24 20:45:00,0.0209921436536735,1.0,39790.35563358982,40625.640495080894,39790.35563358982,39374.31584401023,-0.01045579470087421
PUT,2024-07-02 14:15:00,2024-07-03 03:15:00,0.1647891070009655,1.0,40625.640495080894,47320.303513607534,40625.640495080894,40551.27281177923,-0.0018305602667524346
PUT,2024-07-04 01:45:00,2024-07-04 13:15:00,0.3107661745958541,1.0,47320.303513607534,62025.8532172461,47320.303513607534,46482.67135670749,-0.01770132680275749
PUT,2024-07-05 03:15:00,2024-07-05 11:45:00,0.0049554165049823,1.0,62025.8532172461,62333.21715401445,62025.8532172461,61801.51978263635,-0.0036167730546812216
CALL,2024-07-21 18:15:00,2024-07-23 13:15:00,-0.0227040087427978,1.0,62333.21715401445,60918.003246782995,62333.21715401445,61657.38558947291,-0.010842237821155232
PUT,2024-08-05 01:15:00,2024-08-05 06:15:00,0.2528250670771663,1.0,60918.003246782995,76319.60150385795,62333.21715401445,59875.82147620166,-0.039423533550995704
PUT,2024-08-05 11:45:00,2024-08-05 13:45:00,-0.0913155619196244,1.0,76319.60150385795,69350.43420705135,76319.60150385795,74522.07278626757,-0.023552648103115637
PUT,2024-08-14 14:15:00,2024-08-15 12:15:00,0.0049532783371413,1.0,69350.43420705135,69693.94621048048,76319.60150385795,68941.70610041391,-0.09667104201364429
CALL,2024-10-16 14:30:00,2024-10-16 16:00:00,-0.0009954171164074,1.0,69693.94621048048,69624.5716635126,76319.60150385795,69585.16305814729,-0.08823995818911923
CALL,2024-10-29 20:30:00,2024-10-30 12:00:00,-0.0515938682310634,1.0,69624.5716635126,66032.37068746111,76319.60150385795,69208.9333879833,-0.09316961797180257
PUT,2024-11-01 16:15:00,2024-11-04 16:15:00,0.0419498026011164,1.0,66032.37068746111,68802.41560308385,76319.60150385795,65736.39026676382,-0.13866963438690327
CALL,2024-11-06 08:30:00,2024-11-14 21:00:00,0.8437938508101506,1.0,68802.41560308385,126857.47080985036,76319.60150385795,68196.72042988193,-0.10643243562488214
CALL,2024-11-15 13:30:00,2024-11-15 14:15:00,0.0018931823161798,1.0,126857.47080985036,127097.63513026288,126857.47080985036,125845.52607570228,-0.007977021200942236
CALL,2024-11-19 14:30:00,2024-11-19 22:30:00,-0.0418997301209564,1.0,127097.63513026288,121772.27851929308,127097.63513026288,125954.1694320221,-0.008996750388540531
PUT,2025-01-07 16:15:00,2025-01-08 16:45:00,0.092305302949184,1.0,121772.27851929308,133012.50557882883,127097.63513026288,121356.45279319247,-0.045171433214994505
CALL,2025-01-14 16:45:00,2025-01-19 22:45:00,0.9388854530568412,1.0,133012.50557882883,257896.01214143317,133012.50557882883,132465.0495118022,-0.004115824032065785
CALL,2025-01-20 16:15:00,2025-01-20 16:45:00,0.0213368067386234,1.0,257896.01214143317,263398.68951115664,257896.01214143317,254803.04526364018,-0.011993077566848087
CALL,2025-02-21 16:30:00,2025-02-21 17:30:00,-0.0493616074231331,1.0,263398.68951115664,250396.9068037392,263398.68951115664,259988.00943315504,-0.012948735942200473
PUT,2025-02-28 02:45:00,2025-02-28 09:15:00,0.0238994410040951,1.0,250396.9068037392,256381.25290550306,263398.68951115664,248132.83142170342,-0.057957228708256814
PUT,2025-03-03 15:15:00,2025-03-04 01:15:00,0.2970853966979105,1.0,256381.25290550306,332548.37913084176,263398.68951115664,255749.55683120666,-0.029040131878203534
